Category,Prop._SNPs,Prop._h2,Prop._h2_std_error,Enrichment,Enrichment_std_error,Enrichment_p,Coefficient,Coefficient_std_error,Coefficient_z-score
BLUEPRINT_DNA_methylation_MaxCPP,NA,NA,NA,NA,NA,NA,1.303533407976907e-07,7.787101501969959e-08,1.6739648348581855
synonymous,0.0031200308530606215,-0.003164311632572051,0.021378089539420355,-1.0141924171897185,6.8518840185344105,0.768958741798999,-3.713656283308566e-07,3.0898378441111567e-07,-1.2018935849291668
non_synonymous,0.002715411550002273,0.026299302402842308,0.011478918214292635,9.685199432410272,4.227321716401709,0.04298905177361452,1.0756493306062162e-07,2.0907523033997216e-07,0.5144795626230467
Conserved_Vertebrate_phastCons46way,0.029436054297494834,0.08607824865450445,0.05576347553789669,2.924245477486776,1.8943936906191419,0.30854195372328114,-5.990025397818006e-08,7.583280485973887e-08,-0.78989896376604
Conserved_Vertebrate_phastCons46way.flanking.500,0.3775344693875805,0.5600927292530967,0.08239958062304156,1.4835538862495232,0.21825710578614574,0.028259104593168806,-4.9688611049253465e-08,2.8290528528582407e-08,-1.7563691324837643
Conserved_Mammal_phastCons46way,0.02143945497846979,0.08904080767723889,0.06323117211501307,4.1531283219026145,2.9492900905602264,0.28557679690143456,1.2400883515113733e-07,2.9087524932696255e-07,0.4263299659839514
Conserved_Mammal_phastCons46way.flanking.500,0.3177801497997285,0.5876009213231225,0.09770098194291985,1.8490800060779142,0.30744834755881695,0.006408388191832148,5.6022232409551744e-08,3.500913446457806e-08,1.600217579393017
Conserved_Primate_phastCons46way,0.01926907166878119,0.09816077764577982,0.04400532092011286,5.094214154842505,2.2837281253880093,0.07281787977232648,1.8452809810627538e-07,1.1344127058723246e-07,1.6266399093650805
Conserved_Primate_phastCons46way.flanking.500,0.1565502614508353,0.48706445515478924,0.11987174811807465,3.111233738231425,0.765707747832286,0.0067901965629529855,1.0991229246454855e-07,5.0955969903507006e-08,2.1570052080783553
BivFlnk,0.013549378568832001,0.06770322007307884,0.02905624439934513,4.996776769439329,2.144470630275545,0.06236181450055942,1.6275084200371028e-07,7.937194842065353e-08,2.0504831397254772
BivFlnk.flanking.500,0.01762996088512318,0.03939131335401189,0.033873038580593214,2.2343392370910906,1.9213337341648076,0.5209430916381349,2.298378868909256e-08,8.939256273029792e-08,0.25711074822226393
Human_Promoter_Villar,0.015217007296735417,0.04479148134255582,0.036502737059877,2.943514481468716,2.3988118260091866,0.41664075844199333,-1.4783835993310823e-07,8.477664374585127e-08,-1.7438571922746473
Human_Promoter_Villar.flanking.500,0.003588899406977737,0.003538487704691204,0.018748710508816466,0.9859534368144953,5.2240835929712,0.9978551923772775,-1.5333583561923196e-07,2.3323087937183057e-07,-0.6574422564980121
Human_Enhancer_Villar,0.03322743110861495,0.0907272857456556,0.0329274721049236,2.7304935325599855,0.9909725490751651,0.07811772093228349,-2.609164588645358e-07,1.6163692384258162e-07,-1.6142132172636658
Human_Enhancer_Villar.flanking.500,0.009797759127042241,0.05193620947633439,0.048289830495092556,5.300825301265898,4.928660714041288,0.3842510796076024,8.547252002060297e-08,1.717145746638818e-07,0.49775926235678547
Ancient_Sequence_Age_Human_Promoter,0.004170665469584019,0.04371888078063493,0.029736288545677746,10.48247122658712,7.1298666274098546,0.18084245484441755,4.3520255358851413e-07,2.499004007988851e-07,1.7415040239921684
Ancient_Sequence_Age_Human_Promoter.flanking.500,0.0053204418805135045,0.00980950034738259,0.01975725228507021,1.843737901415779,3.7134607855472583,0.8204110677756894,9.254219068743566e-08,1.935815759554787e-07,0.47805267743413343
Ancient_Sequence_Age_Human_Enhancer,0.005138094789956115,0.0686717941614945,0.03457704754308907,13.365225237909836,6.729546447971312,0.066445923218975,5.688891794050701e-07,3.566908048030174e-07,1.594908452207618
Ancient_Sequence_Age_Human_Enhancer.flanking.500,0.00902676811673703,0.08050828268410144,0.05622150130179146,8.918838020755908,6.228309022090427,0.2049454068486872,3.537065494635372e-07,2.973969529022679e-07,1.189341538343784
Human_Enhancer_Villar_Species_Enhancer_Count,NA,NA,NA,NA,NA,NA,6.684598862766686e-08,4.663758672515856e-08,1.4333071953658123
Human_Promoter_Villar_ExAC,0.0024966621423786885,0.0259722375677952,0.01681260801456922,10.402784232170964,6.734034104651041,0.16114432861251007,2.9064953689452813e-07,2.62459416477286e-07,1.1074075405470611
Human_Promoter_Villar_ExAC.flanking.500,0.0005770689894364502,0.007648184037104358,0.009392402630338864,13.25350032163982,16.276048102170986,0.45052172661092393,5.983365044484016e-07,6.873215190687608e-07,0.8705336408775279
Cell_type_group_1,0.09285308444213616,0.39105037334354137,0.04993887642416156,4.211495780597732,0.5378267908297897,4.375088905532606e-09,1.2107778013895024e-07,3.004340867193001e-08,4.030094636101493
